frame_number,vehicle_type,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_meters,overtaking_angle_degrees,angle_accuracy_percent,safe_to_overtake,recommendation
72,bus,0.5426822304725647,1135,240,1462,627,15.412844036697251,10.28,84.4,False,Large vehicle - maintain distance; Low detection confidence
73,bus,0.5695276856422424,1137,241,1457,624,15.750000000000004,10.23,84.1,False,Large vehicle - maintain distance; Low detection confidence
74,truck,0.7931134700775146,1133,240,1456,626,14.447884416924666,10.16,85.5,False,Large vehicle - maintain distance
75,truck,0.728920578956604,1132,239,1455,625,14.447884416924666,10.13,85.5,False,Large vehicle - maintain distance
76,bus,0.7667041420936584,1133,242,1454,624,15.700934579439256,10.13,84.2,False,Large vehicle - maintain distance
77,truck,0.6209568381309509,1131,241,1453,626,14.492753623188406,10.09,85.5,False,Large vehicle - maintain distance; Low detection confidence
78,truck,0.744003176689148,1130,241,1453,626,14.447884416924666,10.07,85.5,False,Large vehicle - maintain distance
79,truck,0.7798945307731628,1129,241,1450,626,14.537902388369679,10.01,85.5,False,Large vehicle - maintain distance
80,truck,0.7999874949455261,1129,241,1449,626,14.583333333333334,10.0,85.4,False,Large vehicle - maintain distance
81,truck,0.7801676392555237,1128,241,1449,627,14.537902388369679,9.98,85.5,False,Large vehicle - maintain distance
82,truck,0.5892866253852844,1128,243,1448,625,14.583333333333334,9.97,85.4,False,Large vehicle - maintain distance; Low detection confidence
82,bus,0.5446736812591553,1130,244,1447,622,15.899053627760255,9.98,84.1,False,Large vehicle - maintain distance; Low detection confidence
83,truck,0.6312758326530457,1127,241,1447,625,14.583333333333334,9.94,85.4,False,Large vehicle - maintain distance; Low detection confidence
83,bus,0.5297402143478394,1128,242,1447,623,15.799373040752354,9.95,84.2,False,Large vehicle - maintain distance; Low detection confidence
84,truck,0.7358747124671936,1126,241,1446,624,14.583333333333334,9.91,85.5,False,Large vehicle - maintain distance
85,bus,0.6545726656913757,1126,242,1443,622,15.899053627760255,9.86,84.2,False,Large vehicle - maintain distance; Low detection confidence
85,truck,0.5173380374908447,1126,241,1443,624,14.721345951629864,9.86,85.3,False,Large vehicle - maintain distance; Low detection confidence
86,truck,0.6125383377075195,1124,242,1442,622,14.675052410901468,9.82,85.4,False,Large vehicle - maintain distance; Low detection confidence
86,bus,0.5720974802970886,1124,243,1441,623,15.899053627760255,9.8,84.2,False,Large vehicle - maintain distance; Low detection confidence
87,bus,0.6188830137252808,1126,244,1441,621,16.000000000000004,9.83,84.1,False,Large vehicle - maintain distance; Low detection confidence
87,truck,0.5485098361968994,1124,242,1441,623,14.721345951629864,9.8,85.4,False,Large vehicle - maintain distance; Low detection confidence
88,bus,0.7785001993179321,1127,242,1439,622,16.153846153846157,9.82,83.9,False,Large vehicle - maintain distance
89,bus,0.7293432354927063,1126,243,1439,622,16.10223642172524,9.8,84.0,False,Large vehicle - maintain distance
90,truck,0.7448849081993103,1125,243,1438,623,14.909478168264112,9.77,85.2,False,Large vehicle - maintain distance
91,truck,0.7051813006401062,1124,244,1435,622,15.005359056806004,9.71,85.1,False,Large vehicle - maintain distance
92,truck,0.7380415201187134,1125,244,1434,622,15.102481121898599,9.71,85.0,False,Large vehicle - maintain distance
93,truck,0.734251856803894,1125,244,1434,622,15.102481121898599,9.71,85.0,False,Large vehicle - maintain distance
94,truck,0.6630698442459106,1123,244,1433,623,15.053763440860216,9.67,85.1,False,Large vehicle - maintain distance; Low detection confidence
94,bus,0.5301825404167175,1124,244,1433,621,16.31067961165049,9.68,83.8,False,Large vehicle - maintain distance; Low detection confidence
95,truck,0.6549620032310486,1122,244,1432,621,15.053763440860216,9.64,85.1,False,Large vehicle - maintain distance; Low detection confidence
95,bus,0.5101156830787659,1122,245,1432,620,16.258064516129036,9.64,83.9,False,Large vehicle - maintain distance; Low detection confidence
96,truck,0.6093754768371582,1122,245,1431,621,15.102481121898599,9.62,85.1,False,Large vehicle - maintain distance; Low detection confidence
96,bus,0.5700252056121826,1122,245,1431,619,16.31067961165049,9.62,83.9,False,Large vehicle - maintain distance; Low detection confidence
97,truck,0.6870430111885071,1122,244,1431,621,15.102481121898599,9.62,85.1,False,Large vehicle - maintain distance; Low detection confidence
98,truck,0.763008177280426,1122,244,1433,621,15.005359056806004,9.65,85.2,False,Large vehicle - maintain distance
98,motorcycle,0.509821355342865,507,474,595,597,14.84848484848485,-12.36,84.0,False,Low detection confidence
99,truck,0.8031472563743591,1122,243,1431,621,15.102481121898599,9.62,85.1,False,Large vehicle - maintain distance
